district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Bengaluru Urban,KA001,Metro,Southern,Karnataka,13594999,91.87,94.99999963221771,49.6112724980708,High,353744,22345,75,20,5,28,99,244,99,99,48091493.26256,95,104.75,99.799
Bengaluru Rural,KA002,Tier-2,Southern,Karnataka,2134473,88.48,94.99998360250986,50.599937314737645,Estimated,214589,7793,55,30,15,22,99,181,99,99,4580344.26597,85,96.875,92.35849999999999
Mysuru,KA003,Tier-2,Southern,Karnataka,3959923,79.96,60.52405564451632,50.068852348896684,High,252542,7513,55,30,15,22,98,179,99,99,10000468.74266,85,96.375,90.5045
Tumakuru,KA004,Tier-2,Southern,Karnataka,3534857,82.14,43.53652778598964,51.68344858080539,High,241615,8685,55,30,15,21,99,187,99,99,8540744.74055,85,97.625,90.9155
Mandya,KA005,Tier-3,Southern,Karnataka,1938366,85.88,67.99995460093707,45.59995377549957,Estimated,171855,2288,35,30,35,14,81,119,99,86,3331178.8893,65,81.375,77.3885
Hassan,KA006,Tier-3,Southern,Karnataka,1455186,85.94,67.99989829478844,45.599943924694166,Estimated,152510,1723,35,30,35,15,81,130,99,90,2219304.1686,65,83.75,79.313
Dakshina Kannada,KA007,Tier-2,Coastal,Karnataka,2749298,95.0,59.35438792011634,50.452951989926156,High,215445,7710,55,30,15,19,88,169,99,94,5923225.0761,85,91.375,89.81249999999999
Udupi,KA008,Tier-3,Coastal,Karnataka,1884946,86.52,67.99998514546304,45.599980052478955,Estimated,149350,2298,35,30,35,13,71,106,99,75,2815166.851,65,74.5,72.854
Uttara Kannada,KA009,Tier-3,Coastal,Karnataka,1824580,86.92,67.99997807714652,45.59997369257582,Estimated,147224,2268,35,30,35,12,72,109,99,74,2686219.6592,65,74.875,72.4465
Belagavi,KA010,Tier-2,Northern,Karnataka,6306661,80.48,54.62461039209179,50.259368626282594,High,192006,7832,55,30,15,17,74,138,91,80,12109167.51966,85,78.5,79.446
Bagalkot,KA011,Tier-3,Northern,Karnataka,1631726,85.39,67.99995832633665,45.599935283252215,Estimated,121279,1878,35,30,35,10,60,95,88,65,1978940.97554,65,65.125,66.6155
Vijayapura,KA012,Tier-3,Northern,Karnataka,1312452,85.3,67.99997257042544,45.59999146635458,Estimated,111565,1504,35,30,35,11,62,90,86,66,1464237.0738,65,64.75,67.085
Gadag,KA013,Tier-3,Northern,Karnataka,1767385,85.92,68.00001131615353,45.59996831477013,Estimated,125407,2091,35,30,35,11,62,98,88,66,2216424.50695,65,66.25,67.65899999999999
