district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Mumbai,MH001,Metro,Western,Maharashtra,3960790,95.0,95.00001262374424,42.81304992185903,High,221605,10425,65,25,10,20,95,189,98,92,8777308.6795,90,102.75,94.225
Mumbai Suburban,MH002,Metro,Western,Maharashtra,12011680,95.0,95.0,44.96777303424667,High,181084,9265,65,25,10,14,92,181,98,95,21751230.6112,90,101.41666666666669,92.025
Thane,MH003,Metro,Western,Maharashtra,14198086,91.53,86.36685958938409,46.61155736061889,High,186907,7146,65,25,10,15,95,158,98,92,26537216.60002,90,97.58333333333331,89.98100000000001
Pune,MH004,Metro,Western,Maharashtra,12104680,93.15,89.87235515519617,47.82533697710307,High,169176,9513,65,25,10,14,95,151,98,95,20478213.4368,90,97.16666666666666,90.38
Nashik,MH005,Metro,Northern,Maharashtra,7839892,85.06,71.78537663529039,47.757239512993294,High,195562,10978,65,25,10,17,84,175,98,93,15331849.59304,90,97.91666666666669,89.787
Nagpur,MH006,Metro,Central,Maharashtra,5973349,94.38,81.67902126595985,44.61282941947641,High,214348,7780,65,25,10,16,86,153,90,95,12803754.11452,90,93.25,90.251
Ahmednagar,MH007,Tier-2,Western,Maharashtra,5596062,88.85,58.330911987751385,50.0,Medium,128150,2935,45,35,20,16,74,119,98,87,7171353.453,80,84.58333333333333,82.94500000000001
Solapur,MH008,Tier-2,Western,Maharashtra,5318420,87.52,68.67817885763064,50.0,Medium,142048,2934,45,35,20,12,78,108,98,86,7554709.2416,80,83.5,80.554
Jalgaon,MH009,Tier-2,Northern,Maharashtra,3566461,84.61,89.99994672589999,37.799992765938,Estimated,140901,2785,45,35,20,12,70,93,95,63,5025179.21361,80,72.5,72.072
Kolhapur,MH010,Tier-2,Western,Maharashtra,4774286,91.31,62.11110938892224,50.0,Medium,159468,3734,45,35,20,12,79,117,96,83,7613458.39848,80,84.0,80.862
Aurangabad,MH011,Tier-2,Central,Maharashtra,4559075,88.82,77.16295520472903,49.663934021703966,Medium,102547,3747,45,35,20,13,59,93,89,56,4675194.64025,80,66.5,70.114
Nanded,MH012,Tier-3,Central,Maharashtra,1622669,80.42,48.99995008224105,34.79994995898733,Estimated,82385,696,25,20,55,8,48,83,85,42,1336835.85565,45,57.583333333333336,53.959
Parbhani,MH013,Tier-3,Central,Maharashtra,2452495,75.01,48.99997757385846,34.79998939855128,Estimated,101333,599,25,20,55,8,46,68,82,58,2485186.75835,45,57.83333333333333,56.15200000000001
Hingoli,MH014,Tier-3,Central,Maharashtra,1355631,81.06,48.999912218000325,34.79995662536487,Estimated,76287,602,25,20,55,7,46,73,80,52,1034170.22097,45,56.66666666666667,55.412
Beed,MH015,Tier-3,Central,Maharashtra,2157546,74.92,48.99997497156492,34.799953280254506,Estimated,94598,594,25,20,55,7,44,63,79,43,2040995.36508,45,52.0,50.984
Jalna,MH016,Tier-3,Central,Maharashtra,2340016,82.71,48.99996410280955,34.79993299191116,Estimated,98765,968,25,20,55,7,42,64,80,40,2311116.8024,45,51.16666666666667,51.69199999999999
Osmanabad,MH017,Tier-3,Central,Maharashtra,1729990,75.31,48.99993641581743,34.799969942022784,Estimated,84835,530,25,20,55,7,43,86,85,49,1467637.0165,45,58.583333333333336,54.237
Latur,MH018,Tier-3,Central,Maharashtra,1229538,77.82,48.99986824319378,34.79998178177494,Estimated,73408,451,25,20,55,9,47,68,84,48,902579.25504,45,56.08333333333333,54.589
Dhule,MH019,Tier-3,Northern,Maharashtra,1589602,77.11,48.99993834934783,34.79990588839219,Estimated,85711,556,25,20,55,9,49,68,84,45,1362463.77022,45,55.83333333333333,53.772
Nandurbar,MH020,Tier-3,Northern,Maharashtra,1105674,76.44,48.99988604235968,34.799859633128754,Estimated,74109,369,25,20,55,7,47,93,89,60,819403.94466,45,64.5,58.438
Akola,MH021,Tier-3,Eastern,Maharashtra,1430374,84.12,48.99991191115051,34.799919461623325,Estimated,70194,741,25,20,55,6,40,75,75,53,1004036.72556,45,54.5,55.174
Washim,MH022,Tier-3,Eastern,Maharashtra,2152644,80.66,48.99992753098051,34.79994834259636,Estimated,85038,870,25,20,55,5,42,79,70,52,1830565.40472,45,54.16666666666666,53.782
Amravati,MH023,Tier-2,Eastern,Maharashtra,3758386,82.2,89.99996274996768,37.799975840693314,Estimated,124172,2352,45,35,20,11,62,84,76,70,4666863.06392,80,66.0,70.64
Wardha,MH024,Tier-3,Eastern,Maharashtra,1513945,83.29,48.99999669737012,34.799943194765994,Estimated,71912,754,25,20,55,6,39,65,73,46,1088708.1284,45,50.333333333333336,52.358
Yavatmal,MH025,Tier-3,Eastern,Maharashtra,2136082,76.56,48.999944758675,34.79992809264813,Estimated,84697,673,25,20,55,8,37,57,74,48,1809197.37154,45,49.25,51.88700000000001
Buldhana,MH026,Tier-3,Eastern,Maharashtra,2105134,76.72,48.999921145162254,34.79996997815816,Estimated,84061,680,25,20,55,6,37,55,73,46,1769596.69174,45,48.16666666666666,50.394
Chandrapur,MH027,Tier-3,Eastern,Maharashtra,1941102,82.26,48.99994951321466,34.79997444750456,Estimated,80690,918,25,20,55,7,38,78,76,45,1566275.2038,45,52.75,53.077
Gadchiroli,MH028,Tier-3,Eastern,Maharashtra,1367066,77.39,48.99997512921834,34.79992919142163,Estimated,68893,487,25,20,55,7,42,58,76,43,941812.77938,45,49.91666666666666,50.853
Gondia,MH029,Tier-3,Eastern,Maharashtra,1190226,77.72,48.99993782693371,34.799945556558164,Estimated,65259,433,25,20,55,7,39,58,70,42,776729.58534,45,47.41666666666666,49.969
