district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Chennai,TN001,Metro,Northern,Tamil Nadu,6131264,95.0,94.9999869521195,48.222829746036055,High,263625,17075,70,25,5,21,98,222,99,98,16163544.72,95,104.58333333333334,97.375
Coimbatore,TN002,Metro,Western,Tamil Nadu,4562816,89.74,82.79549295873426,51.468522947232586,High,236005,18778,70,25,5,19,96,213,99,98,10768473.9008,95,102.83333333333333,94.99799999999999
Madurai,TN003,Metro,Southern,Tamil Nadu,4008908,87.55,69.12388610564273,48.12547456813676,High,218583,13590,70,25,5,18,87,160,94,81,8762791.37364,95,87.72222222222223,86.22666666666667
Tiruchirappalli,TN004,Tier-2,Central,Tamil Nadu,3494646,92.09,73.40797894836845,49.55031210600444,High,139487,4411,50,40,10,15,75,126,96,73,4874576.86602,90,78.5,80.56800000000001
Salem,TN005,Tier-2,Western,Tamil Nadu,4469970,81.26,55.18012425139318,48.270704277657345,High,163226,4829,50,40,10,16,79,136,99,88,7296153.2322,90,85.38888888888889,83.86866666666668
Tirunelveli,TN006,Tier-2,Southern,Tamil Nadu,3950292,84.35,55.084003916672486,47.5690657804537,High,155262,5321,50,40,10,14,72,126,91,68,6133302.36504,90,75.25,76.64500000000001
Vellore,TN007,Tier-2,Northern,Tamil Nadu,5053130,79.98,56.447211926073535,48.26557005262085,High,183611,5393,50,40,10,19,88,150,99,89,9278102.5243,90,89.83333333333334,86.346
Erode,TN008,Tier-2,Western,Tamil Nadu,2890599,74.69,63.61844033018762,50.14514292712341,High,158611,5640,50,40,10,15,78,156,99,89,4584807.97989,90,88.16666666666667,83.188
Kanchipuram,TN009,Tier-2,Northern,Tamil Nadu,3103633,85.79,92.99997776798996,44.19997467484074,Estimated,185176,4130,50,40,10,19,91,145,99,96,5747183.44408,90,91.63888888888889,89.44966666666666
Thanjavur,TN010,Tier-2,Central,Tamil Nadu,3215054,88.5,92.99999315719114,44.199973002008676,Estimated,156694,5031,50,40,10,15,72,135,93,76,5037796.71476,90,79.0,80.60000000000001
Dindigul,TN011,Tier-2,Southern,Tamil Nadu,4038763,89.11,93.00001015162316,44.199993909026105,Estimated,165579,5235,50,40,10,13,72,125,88,71,6687343.38777,90,75.11111111111111,77.75533333333334
Cuddalore,TN012,Tier-3,Northern,Tamil Nadu,2579202,83.23,60.19997658190401,42.199951768027475,Estimated,147663,1454,30,35,35,11,67,113,99,73,3808527.04926,65,75.44444444444444,71.27933333333334
Villupuram,TN013,Tier-3,Northern,Tamil Nadu,1607660,84.43,60.19991789308685,42.199967654852394,Estimated,119388,1271,30,35,35,11,68,107,99,78,1919353.1208,65,76.11111111111111,72.71933333333334
Tiruvannamalai,TN014,Tier-3,Northern,Tamil Nadu,1773208,85.08,60.199931423724685,42.199956237508516,Estimated,124206,1464,30,35,35,10,64,118,99,76,2202430.72848,65,76.13888888888889,72.05766666666666
Dharmapuri,TN015,Tier-3,Western,Tamil Nadu,1714453,84.25,60.19995882068508,42.19999031761151,Estimated,112288,1339,30,35,35,9,59,97,99,67,1925124.98464,65,69.72222222222223,67.76666666666667
Krishnagiri,TN016,Tier-3,Western,Tamil Nadu,1445960,81.65,60.19993637445019,42.199922542808935,Estimated,105125,929,30,35,35,11,61,103,99,72,1520065.45,65,72.30555555555556,69.82166666666667
Namakkal,TN017,Tier-3,Western,Tamil Nadu,2335858,85.02,60.199977909616074,42.19999674637756,Estimated,128866,1644,30,35,35,10,63,92,98,69,3010126.77028,65,70.27777777777777,68.88733333333333
Karur,TN018,Tier-3,Central,Tamil Nadu,1368451,81.91,60.199890240863574,42.19997646974572,Estimated,93688,898,30,35,35,10,54,86,88,63,1282074.37288,65,63.19444444444444,64.94033333333334
Pudukkottai,TN019,Tier-3,Central,Tamil Nadu,1718673,86.48,60.19993332064912,42.199883282043764,Estimated,102182,1547,30,35,35,10,55,94,90,63,1756174.44486,65,65.05555555555556,66.41266666666667
Sivaganga,TN020,Tier-3,Southern,Tamil Nadu,1515030,86.85,60.19993003438876,42.199956436506206,Estimated,92381,1393,30,35,35,10,54,83,84,52,1399599.8643,65,59.02777777777778,62.47833333333333
Ramanathapuram,TN021,Tier-3,Southern,Tamil Nadu,2527218,83.06,60.19995109246611,42.19996058907463,Estimated,115702,1436,30,35,35,9,50,83,85,57,2924041.77036,65,59.52777777777778,62.470333333333336
Thoothukkudi,TN022,Tier-3,Southern,Tamil Nadu,1499995,83.07,60.200000666668885,42.19994066646889,Estimated,92035,1077,30,35,35,8,50,80,84,54,1380520.39825,65,58.111111111111114,61.04733333333334
Virudhunagar,TN023,Tier-3,Southern,Tamil Nadu,2475964,82.66,60.19998675263453,42.199967366246035,Estimated,114521,1393,30,35,35,10,53,88,86,56,2835498.73244,65,60.97222222222222,63.02366666666667
Kanyakumari,TN024,Tier-3,Southern,Tamil Nadu,2276820,85.14,60.19997189061937,42.19995432225648,Estimated,109933,1658,30,35,35,9,52,87,86,55,2502976.5306,65,60.333333333333336,62.728
