district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Lucknow,UP001,Metro,Central,Uttar Pradesh,6224577,88.49,85.00000883594178,42.770183419692614,High,159101,5536,45,25,30,14,73,112,81,85,9903364.25277,70,83.08333333333333,79.223
Kanpur Nagar,UP002,Metro,Central,Uttar Pradesh,6212600,90.0,85.0,40.66431123845089,High,143355,4803,45,25,30,10,77,111,87,74,8906072.73,70,82.625,75.58749999999999
Agra,UP003,Metro,Western,Uttar Pradesh,5992617,82.78,74.52358460418878,39.79121308770442,High,176100,6072,45,25,30,15,78,111,90,85,10552998.537,70,86.375,79.4685
Varanasi,UP004,Tier-2,Eastern,Uttar Pradesh,4726890,89.6,66.99671454169655,41.75957130375363,High,81809,2681,30,25,45,8,42,62,65,45,3867021.4401,55,50.91666666666667,56.395
Meerut,UP005,Tier-2,Western,Uttar Pradesh,4420718,83.84,70.22261994544778,41.553973811493975,High,102146,2263,30,25,45,11,59,101,87,61,4515586.60828,55,72.79166666666667,66.2055
Allahabad,UP006,Tier-2,Central,Uttar Pradesh,7643745,86.32,50.341815432095125,42.00748455109374,High,106768,2462,30,25,45,7,51,68,83,59,8161073.6616,55,62.416666666666664,61.589
Bareilly,UP007,Tier-2,Central,Uttar Pradesh,5710428,72.49,53.51798499166788,41.79341723597601,High,83028,2298,30,25,45,9,59,85,81,54,4741254.15984,55,66.20833333333334,59.76050000000001
Aligarh,UP008,Tier-2,Western,Uttar Pradesh,4716178,81.52,56.60604837222005,41.84806001809092,High,98763,2032,30,25,45,10,63,105,90,69,4657838.87814,55,77.375,68.31649999999999
Moradabad,UP009,Tier-2,Western,Uttar Pradesh,6125899,71.56,50.68699304379651,41.24434634002291,Medium,87713,1595,30,25,45,9,68,116,90,72,5373209.78987,55,81.66666666666667,67.812
Saharanpur,UP010,Tier-2,Western,Uttar Pradesh,3409481,82.51,67.99996832362463,34.79998861996884,Estimated,105502,2226,30,25,45,8,60,109,89,60,3597070.64462,55,74.95833333333333,65.18950000000001
Gorakhpur,UP011,Tier-2,Eastern,Uttar Pradesh,5700847,85.38,46.262546600531465,41.85893780345272,Medium,69864,2272,30,25,45,8,42,59,68,47,3982839.74808,55,51.541666666666664,56.1385
Firozabad,UP012,Tier-2,Western,Uttar Pradesh,4146144,85.26,67.99997781070797,34.799973179899204,Estimated,120429,2582,30,25,45,11,59,109,89,56,4993159.75776,55,73.70833333333333,65.7645
Jhansi,UP013,Tier-2,Bundelkhand,Uttar Pradesh,4396134,77.57,67.99997452306958,34.79998562373213,Estimated,81844,1585,30,25,45,5,37,76,60,43,3597971.91096,55,50.83333333333333,52.364
Muzaffarnagar,UP014,Tier-2,Western,Uttar Pradesh,3012963,78.65,67.99997212046746,34.799962694530265,Estimated,97468,1726,30,25,45,10,66,81,90,56,2936674.77684,55,69.875,62.892500000000005
Mathura,UP015,Tier-2,Western,Uttar Pradesh,2759745,79.91,67.99997825886088,34.79999057883971,Estimated,92337,1889,30,25,45,10,59,111,88,73,2548265.74065,55,78.125,69.0195
Ghaziabad,UP016,Tier-3,Western,Uttar Pradesh,1910284,73.13,45.99996649712818,32.79993969483071,Estimated,68449,421,15,15,70,6,43,77,88,51,1307570.29516,30,61.54166666666667,51.688500000000005
Gautam Buddha Nagar,UP017,Tier-3,Western,Uttar Pradesh,2733515,74.3,46.000003658293444,32.800002926634754,Estimated,87209,459,15,15,70,7,42,70,87,45,2383871.09635,30,58.083333333333336,50.084999999999994
Bulandshahr,UP018,Tier-3,Western,Uttar Pradesh,2664910,79.98,45.99997748516835,32.79994446341527,Estimated,85646,643,15,15,70,7,40,72,84,60,2282388.8186,30,61.0,55.096000000000004
Hathras,UP019,Tier-3,Western,Uttar Pradesh,2492812,77.46,45.99997914002339,32.79998652124589,Estimated,81724,561,15,15,70,5,37,76,88,54,2037225.67888,30,60.58333333333333,52.467
Mainpuri,UP020,Tier-3,Western,Uttar Pradesh,2728146,77.48,45.99999413521124,32.79996745042237,Estimated,87087,561,15,15,70,5,36,77,89,61,2375860.50702,30,62.54166666666667,54.4585
Etah,UP021,Tier-3,Western,Uttar Pradesh,2455222,75.11,45.999995112458265,32.79996676471618,Estimated,80867,485,15,15,70,6,43,55,85,55,1985464.37474,30,57.20833333333333,51.5845
Kasganj,UP022,Tier-3,Western,Uttar Pradesh,2404241,72.2,45.99996422987546,32.79995641035986,Estimated,79705,391,15,15,70,6,38,59,89,51,1916300.28905,30,56.791666666666664,50.0775
Farrukhabad,UP023,Tier-3,Central,Uttar Pradesh,2807106,79.02,45.99997292585317,32.79997264086216,Estimated,77292,611,15,15,70,7,34,61,76,48,2169668.36952,30,52.20833333333333,49.866499999999995
Kannauj,UP024,Tier-3,Central,Uttar Pradesh,2562829,72.47,45.99994771403008,32.79996441432495,Estimated,72451,399,15,15,70,5,31,54,77,37,1856795.23879,30,47.5,44.144
Etawah,UP025,Tier-3,Central,Uttar Pradesh,1927516,72.46,45.99998132311223,32.79998713369954,Estimated,59862,399,15,15,70,5,32,49,77,36,1153849.62792,30,46.458333333333336,43.6295
Auraiya,UP026,Tier-3,Central,Uttar Pradesh,1884776,77.83,46.00000212226811,32.799971986060946,Estimated,59015,573,15,15,70,5,33,65,75,53,1112300.5564,30,53.791666666666664,50.3035
